experiment,model_name,guidance_scale,status,train_loss_last,train_loss_min,valid_loss_last,valid_loss_min,samples_requested,decoded_circuits,decode_failures,valid_rate,srv_exact_match
exp_a_lr3e4_s512_e200_ip0p0,exp_a_lr3e4_s512_e200_ip0p0_20260227_134900,0.5,ok,0.04117940366268158,0.02075943350791931,0.05749460309743881,0.042494576424360275,128.0,36.0,92.0,0.28125,0.5278
exp_a_lr3e4_s512_e200_ip0p0,exp_a_lr3e4_s512_e200_ip0p0_20260227_134900,1.0,ok,0.04117940366268158,0.02075943350791931,0.05749460309743881,0.042494576424360275,128.0,55.0,73.0,0.4296875,0.4727
exp_a_lr3e4_s512_e200_ip0p0,exp_a_lr3e4_s512_e200_ip0p0_20260227_134900,1.5,ok,0.04117940366268158,0.02075943350791931,0.05749460309743881,0.042494576424360275,128.0,67.0,61.0,0.5234375,0.5672
exp_a_lr3e4_s512_e200_ip0p0,exp_a_lr3e4_s512_e200_ip0p0_20260227_134900,3.0,ok,0.04117940366268158,0.02075943350791931,0.05749460309743881,0.042494576424360275,128.0,67.0,61.0,0.5234375,0.6269
exp_a_lr3e4_s512_e200_ip0p0,exp_a_lr3e4_s512_e200_ip0p0_20260227_134900,5.0,ok,0.04117940366268158,0.02075943350791931,0.05749460309743881,0.042494576424360275,128.0,59.0,69.0,0.4609375,0.7288
exp_a_lr3e4_s512_e200_ip0p0,exp_a_lr3e4_s512_e200_ip0p0_20260227_134900,10.0,ok,0.04117940366268158,0.02075943350791931,0.05749460309743881,0.042494576424360275,128.0,21.0,107.0,0.1640625,0.5238
exp_b_lr1e4_s512_e200_ip0p0,exp_b_lr1e4_s512_e200_ip0p0_20260227_134900,0.5,ok,0.04799731820821762,0.02167195826768875,0.06576713174581528,0.04555600881576538,128.0,5.0,123.0,0.0390625,0.6
exp_b_lr1e4_s512_e200_ip0p0,exp_b_lr1e4_s512_e200_ip0p0_20260227_134900,1.0,ok,0.04799731820821762,0.02167195826768875,0.06576713174581528,0.04555600881576538,128.0,5.0,123.0,0.0390625,1.0
exp_b_lr1e4_s512_e200_ip0p0,exp_b_lr1e4_s512_e200_ip0p0_20260227_134900,1.5,ok,0.04799731820821762,0.02167195826768875,0.06576713174581528,0.04555600881576538,128.0,4.0,124.0,0.03125,1.0
exp_b_lr1e4_s512_e200_ip0p0,exp_b_lr1e4_s512_e200_ip0p0_20260227_134900,3.0,ok,0.04799731820821762,0.02167195826768875,0.06576713174581528,0.04555600881576538,128.0,5.0,123.0,0.0390625,1.0
exp_b_lr1e4_s512_e200_ip0p0,exp_b_lr1e4_s512_e200_ip0p0_20260227_134900,5.0,ok,0.04799731820821762,0.02167195826768875,0.06576713174581528,0.04555600881576538,128.0,14.0,114.0,0.109375,1.0
exp_b_lr1e4_s512_e200_ip0p0,exp_b_lr1e4_s512_e200_ip0p0_20260227_134900,10.0,ok,0.04799731820821762,0.02167195826768875,0.06576713174581528,0.04555600881576538,128.0,67.0,61.0,0.5234375,0.9254
exp_c_lr3e4_s1024_e200_ip0p0,exp_c_lr3e4_s1024_e200_ip0p0_20260227_134900,0.5,eval_failed,0.05912957340478897,0.036420129239559174,0.0682777389883995,0.049556683748960495,,,,,
exp_c_lr3e4_s1024_e200_ip0p0,exp_c_lr3e4_s1024_e200_ip0p0_20260227_134900,1.0,eval_failed,0.05912957340478897,0.036420129239559174,0.0682777389883995,0.049556683748960495,,,,,
exp_c_lr3e4_s1024_e200_ip0p0,exp_c_lr3e4_s1024_e200_ip0p0_20260227_134900,1.5,eval_failed,0.05912957340478897,0.036420129239559174,0.0682777389883995,0.049556683748960495,,,,,
exp_c_lr3e4_s1024_e200_ip0p0,exp_c_lr3e4_s1024_e200_ip0p0_20260227_134900,3.0,eval_failed,0.05912957340478897,0.036420129239559174,0.0682777389883995,0.049556683748960495,,,,,
exp_c_lr3e4_s1024_e200_ip0p0,exp_c_lr3e4_s1024_e200_ip0p0_20260227_134900,5.0,eval_failed,0.05912957340478897,0.036420129239559174,0.0682777389883995,0.049556683748960495,,,,,
exp_c_lr3e4_s1024_e200_ip0p0,exp_c_lr3e4_s1024_e200_ip0p0_20260227_134900,10.0,eval_failed,0.05912957340478897,0.036420129239559174,0.0682777389883995,0.049556683748960495,,,,,
